week,meantemp,begin_date,week_year,week_inyear
1,-1,1857-01-01,1-1857,1
2,-1,1857-01-08,2-1857,2
3,-1,1857-01-15,3-1857,3
4,-1,1857-01-22,4-1857,4
5,0.2,1857-02-01,5-1857,5
6,0.2,1857-02-08,6-1857,6
7,0.2,1857-02-15,7-1857,7
8,0.2,1857-02-22,8-1857,8
9,3.5,1857-03-01,9-1857,9
10,3.5,1857-03-08,10-1857,10
11,3.5,1857-03-15,11-1857,11
12,3.5,1857-03-22,12-1857,12
13,7.4,1857-04-01,13-1857,13
14,7.4,1857-04-08,14-1857,14
15,7.4,1857-04-15,15-1857,15
16,7.4,1857-04-22,16-1857,16
17,7.4,1857-04-29,17-1857,17
18,13.2,1857-05-01,18-1857,18
19,13.2,1857-05-08,19-1857,19
20,13.2,1857-05-15,20-1857,20
21,13.2,1857-05-22,21-1857,21
22,17,1857-06-01,22-1857,22
23,17,1857-06-08,23-1857,23
24,17,1857-06-15,24-1857,24
25,17,1857-06-22,25-1857,25
26,18.3,1857-07-01,26-1857,26
27,18.3,1857-07-08,27-1857,27
28,18.3,1857-07-15,28-1857,28
29,18.3,1857-07-22,29-1857,29
30,18.3,1857-07-29,30-1857,30
31,19,1857-08-01,31-1857,31
32,19,1857-08-08,32-1857,32
33,19,1857-08-15,33-1857,33
34,19,1857-08-22,34-1857,34
35,15.3,1857-09-01,35-1857,35
36,15.3,1857-09-08,36-1857,36
37,15.3,1857-09-15,37-1857,37
38,15.3,1857-09-22,38-1857,38
39,15.3,1857-09-29,39-1857,39
40,11.2,1857-10-01,40-1857,40
41,11.2,1857-10-08,41-1857,41
42,11.2,1857-10-15,42-1857,42
43,11.2,1857-10-22,43-1857,43
44,3.5,1857-11-01,44-1857,44
45,3.5,1857-11-08,45-1857,45
46,3.5,1857-11-15,46-1857,46
47,3.5,1857-11-22,47-1857,47
48,2.6,1857-12-01,48-1857,48
49,2.6,1857-12-08,49-1857,49
50,2.6,1857-12-15,50-1857,50
51,2.6,1857-12-22,51-1857,51
52,2.6,1857-12-29,52-1857,52
53,-2.3,1858-01-01,1-1858,1
54,-2.3,1858-01-08,2-1858,2
55,-2.3,1858-01-15,3-1858,3
56,-2.3,1858-01-22,4-1858,4
57,-2.4,1858-02-01,5-1858,5
58,-2.4,1858-02-08,6-1858,6
59,-2.4,1858-02-15,7-1858,7
60,-2.4,1858-02-22,8-1858,8
61,1.6,1858-03-01,9-1858,9
62,1.6,1858-03-08,10-1858,10
63,1.6,1858-03-15,11-1858,11
64,1.6,1858-03-22,12-1858,12
65,7,1858-04-01,13-1858,13
66,7,1858-04-08,14-1858,14
67,7,1858-04-15,15-1858,15
68,7,1858-04-22,16-1858,16
69,7,1858-04-29,17-1858,17
70,11.2,1858-05-01,18-1858,18
71,11.2,1858-05-08,19-1858,19
72,11.2,1858-05-15,20-1858,20
73,11.2,1858-05-22,21-1858,21
74,19.1,1858-06-01,22-1858,22
75,19.1,1858-06-08,23-1858,23
76,19.1,1858-06-15,24-1858,24
77,19.1,1858-06-22,25-1858,25
78,16.8,1858-07-01,26-1858,26
79,16.8,1858-07-08,27-1858,27
80,16.8,1858-07-15,28-1858,28
81,16.8,1858-07-22,29-1858,29
82,16.8,1858-07-29,30-1858,30
83,17,1858-08-01,31-1858,31
84,17,1858-08-08,32-1858,32
85,17,1858-08-15,33-1858,33
86,17,1858-08-22,34-1858,34
87,15.1,1858-09-01,35-1858,35
88,15.1,1858-09-08,36-1858,36
89,15.1,1858-09-15,37-1858,37
90,15.1,1858-09-22,38-1858,38
91,15.1,1858-09-29,39-1858,39
92,9,1858-10-01,40-1858,40
93,9,1858-10-08,41-1858,41
94,9,1858-10-15,42-1858,42
95,9,1858-10-22,43-1858,43
96,-1.4,1858-11-01,44-1858,44
97,-1.4,1858-11-08,45-1858,45
98,-1.4,1858-11-15,46-1858,46
99,-1.4,1858-11-22,47-1858,47
100,1.7,1858-12-01,48-1858,48
101,1.7,1858-12-08,49-1858,49
102,1.7,1858-12-15,50-1858,50
103,1.7,1858-12-22,51-1858,51
104,1.7,1858-12-29,52-1858,52
105,1.6,1859-01-01,1-1859,1
106,1.6,1859-01-08,2-1859,2
107,1.6,1859-01-15,3-1859,3
108,1.6,1859-01-22,4-1859,4
109,3.4,1859-02-01,5-1859,5
110,3.4,1859-02-08,6-1859,6
111,3.4,1859-02-15,7-1859,7
112,3.4,1859-02-22,8-1859,8
113,6.8,1859-03-01,9-1859,9
114,6.8,1859-03-08,10-1859,10
115,6.8,1859-03-15,11-1859,11
116,6.8,1859-03-22,12-1859,12
117,7.5,1859-04-01,13-1859,13
118,7.5,1859-04-08,14-1859,14
119,7.5,1859-04-15,15-1859,15
120,7.5,1859-04-22,16-1859,16
121,7.5,1859-04-29,17-1859,17
122,12.8,1859-05-01,18-1859,18
123,12.8,1859-05-08,19-1859,19
124,12.8,1859-05-15,20-1859,20
125,12.8,1859-05-22,21-1859,21
126,17.6,1859-06-01,22-1859,22
127,17.6,1859-06-08,23-1859,23
128,17.6,1859-06-15,24-1859,24
129,17.6,1859-06-22,25-1859,25
130,19.8,1859-07-01,26-1859,26
131,19.8,1859-07-08,27-1859,27
132,19.8,1859-07-15,28-1859,28
133,19.8,1859-07-22,29-1859,29
134,19.8,1859-07-29,30-1859,30
135,18.1,1859-08-01,31-1859,31
136,18.1,1859-08-08,32-1859,32
137,18.1,1859-08-15,33-1859,33
138,18.1,1859-08-22,34-1859,34
139,13.8,1859-09-01,35-1859,35
140,13.8,1859-09-08,36-1859,36
141,13.8,1859-09-15,37-1859,37
142,13.8,1859-09-22,38-1859,38
143,13.8,1859-09-29,39-1859,39
144,10.1,1859-10-01,40-1859,40
145,10.1,1859-10-08,41-1859,41
146,10.1,1859-10-15,42-1859,42
147,10.1,1859-10-22,43-1859,43
148,2.8,1859-11-01,44-1859,44
149,2.8,1859-11-08,45-1859,45
150,2.8,1859-11-15,46-1859,46
151,2.8,1859-11-22,47-1859,47
152,-1.2,1859-12-01,48-1859,48
153,-1.2,1859-12-08,49-1859,49
154,-1.2,1859-12-15,50-1859,50
155,-1.2,1859-12-22,51-1859,51
156,-1.2,1859-12-29,52-1859,52
157,2.6,1860-01-01,1-1860,1
158,2.6,1860-01-08,2-1860,2
159,2.6,1860-01-15,3-1860,3
160,2.6,1860-01-22,4-1860,4
161,-1.3,1860-02-01,5-1860,5
162,-1.3,1860-02-08,6-1860,6
163,-1.3,1860-02-15,7-1860,7
164,-1.3,1860-02-22,8-1860,8
165,2,1860-03-01,9-1860,9
166,2,1860-03-08,10-1860,10
167,2,1860-03-15,11-1860,11
168,2,1860-03-22,12-1860,12
169,2,1860-03-29,13-1860,13
170,7,1860-04-01,14-1860,14
171,7,1860-04-08,15-1860,15
172,7,1860-04-15,16-1860,16
173,7,1860-04-22,17-1860,17
174,13.2,1860-05-01,18-1860,18
175,13.2,1860-05-08,19-1860,19
176,13.2,1860-05-15,20-1860,20
177,13.2,1860-05-22,21-1860,21
178,16,1860-06-01,22-1860,22
179,16,1860-06-08,23-1860,23
180,16,1860-06-15,24-1860,24
181,16,1860-06-22,25-1860,25
182,16,1860-06-29,26-1860,26
183,15.6,1860-07-01,27-1860,27
184,15.6,1860-07-08,28-1860,28
185,15.6,1860-07-15,29-1860,29
186,15.6,1860-07-22,30-1860,30
187,15.5,1860-08-01,31-1860,31
188,15.5,1860-08-08,32-1860,32
189,15.5,1860-08-15,33-1860,33
190,15.5,1860-08-22,34-1860,34
191,12.8,1860-09-01,35-1860,35
192,12.8,1860-09-08,36-1860,36
193,12.8,1860-09-15,37-1860,37
194,12.8,1860-09-22,38-1860,38
195,12.8,1860-09-29,39-1860,39
196,8.2,1860-10-01,40-1860,40
197,8.2,1860-10-08,41-1860,41
198,8.2,1860-10-15,42-1860,42
199,8.2,1860-10-22,43-1860,43
200,1.2,1860-11-01,44-1860,44
201,1.2,1860-11-08,45-1860,45
202,1.2,1860-11-15,46-1860,46
203,1.2,1860-11-22,47-1860,47
204,-1.4,1860-12-01,48-1860,48
205,-1.4,1860-12-08,49-1860,49
206,-1.4,1860-12-15,50-1860,50
207,-1.4,1860-12-22,51-1860,51
208,-1.4,1860-12-29,52-1860,52
209,-5.5,1861-01-01,1-1861,1
210,-5.5,1861-01-08,2-1861,2
211,-5.5,1861-01-15,3-1861,3
212,-5.5,1861-01-22,4-1861,4
213,4.2,1861-02-01,5-1861,5
214,4.2,1861-02-08,6-1861,6
215,4.2,1861-02-15,7-1861,7
216,4.2,1861-02-22,8-1861,8
217,5.6,1861-03-01,9-1861,9
218,5.6,1861-03-08,10-1861,10
219,5.6,1861-03-15,11-1861,11
220,5.6,1861-03-22,12-1861,12
221,6.2,1861-04-01,13-1861,13
222,6.2,1861-04-08,14-1861,14
223,6.2,1861-04-15,15-1861,15
224,6.2,1861-04-22,16-1861,16
225,6.2,1861-04-29,17-1861,17
226,10.7,1861-05-01,18-1861,18
227,10.7,1861-05-08,19-1861,19
228,10.7,1861-05-15,20-1861,20
229,10.7,1861-05-22,21-1861,21
230,17.9,1861-06-01,22-1861,22
231,17.9,1861-06-08,23-1861,23
232,17.9,1861-06-15,24-1861,24
233,17.9,1861-06-22,25-1861,25
234,17.7,1861-07-01,26-1861,26
235,17.7,1861-07-08,27-1861,27
236,17.7,1861-07-15,28-1861,28
237,17.7,1861-07-22,29-1861,29
238,17.7,1861-07-29,30-1861,30
239,17.4,1861-08-01,31-1861,31
240,17.4,1861-08-08,32-1861,32
241,17.4,1861-08-15,33-1861,33
242,17.4,1861-08-22,34-1861,34
243,13.3,1861-09-01,35-1861,35
244,13.3,1861-09-08,36-1861,36
245,13.3,1861-09-15,37-1861,37
246,13.3,1861-09-22,38-1861,38
247,13.3,1861-09-29,39-1861,39
248,9.8,1861-10-01,40-1861,40
249,9.8,1861-10-08,41-1861,41
250,9.8,1861-10-15,42-1861,42
251,9.8,1861-10-22,43-1861,43
252,5,1861-11-01,44-1861,44
253,5,1861-11-08,45-1861,45
254,5,1861-11-15,46-1861,46
255,5,1861-11-22,47-1861,47
256,1.4,1861-12-01,48-1861,48
257,1.4,1861-12-08,49-1861,49
258,1.4,1861-12-15,50-1861,50
259,1.4,1861-12-22,51-1861,51
260,1.4,1861-12-29,52-1861,52
261,-0.7,1862-01-01,1-1862,1
262,-0.7,1862-01-08,2-1862,2
263,-0.7,1862-01-15,3-1862,3
264,-0.7,1862-01-22,4-1862,4
265,1.4,1862-02-01,5-1862,5
266,1.4,1862-02-08,6-1862,6
267,1.4,1862-02-15,7-1862,7
268,1.4,1862-02-22,8-1862,8
269,6.4,1862-03-01,9-1862,9
270,6.4,1862-03-08,10-1862,10
271,6.4,1862-03-15,11-1862,11
272,6.4,1862-03-22,12-1862,12
273,10.1,1862-04-01,13-1862,13
274,10.1,1862-04-08,14-1862,14
275,10.1,1862-04-15,15-1862,15
276,10.1,1862-04-22,16-1862,16
277,10.1,1862-04-29,17-1862,17
278,15.8,1862-05-01,18-1862,18
279,15.8,1862-05-08,19-1862,19
280,15.8,1862-05-15,20-1862,20
281,15.8,1862-05-22,21-1862,21
282,15.3,1862-06-01,22-1862,22
283,15.3,1862-06-08,23-1862,23
284,15.3,1862-06-15,24-1862,24
285,15.3,1862-06-22,25-1862,25
286,16.5,1862-07-01,26-1862,26
287,16.5,1862-07-08,27-1862,27
288,16.5,1862-07-15,28-1862,28
289,16.5,1862-07-22,29-1862,29
290,16.5,1862-07-29,30-1862,30
291,16,1862-08-01,31-1862,31
292,16,1862-08-08,32-1862,32
293,16,1862-08-15,33-1862,33
294,16,1862-08-22,34-1862,34
295,13.5,1862-09-01,35-1862,35
296,13.5,1862-09-08,36-1862,36
297,13.5,1862-09-15,37-1862,37
298,13.5,1862-09-22,38-1862,38
299,13.5,1862-09-29,39-1862,39
300,10.8,1862-10-01,40-1862,40
301,10.8,1862-10-08,41-1862,41
302,10.8,1862-10-15,42-1862,42
303,10.8,1862-10-22,43-1862,43
304,3.7,1862-11-01,44-1862,44
305,3.7,1862-11-08,45-1862,45
306,3.7,1862-11-15,46-1862,46
307,3.7,1862-11-22,47-1862,47
308,2,1862-12-01,48-1862,48
309,2,1862-12-08,49-1862,49
310,2,1862-12-15,50-1862,50
311,2,1862-12-22,51-1862,51
312,2,1862-12-29,52-1862,52
313,3.5,1863-01-01,1-1863,1
314,3.5,1863-01-08,2-1863,2
315,3.5,1863-01-15,3-1863,3
316,3.5,1863-01-22,4-1863,4
317,3,1863-02-01,5-1863,5
318,3,1863-02-08,6-1863,6
319,3,1863-02-15,7-1863,7
320,3,1863-02-22,8-1863,8
321,5.1,1863-03-01,9-1863,9
322,5.1,1863-03-08,10-1863,10
323,5.1,1863-03-15,11-1863,11
324,5.1,1863-03-22,12-1863,12
325,8.1,1863-04-01,13-1863,13
326,8.1,1863-04-08,14-1863,14
327,8.1,1863-04-15,15-1863,15
328,8.1,1863-04-22,16-1863,16
329,8.1,1863-04-29,17-1863,17
330,12.6,1863-05-01,18-1863,18
331,12.6,1863-05-08,19-1863,19
332,12.6,1863-05-15,20-1863,20
333,12.6,1863-05-22,21-1863,21
334,15.4,1863-06-01,22-1863,22
335,15.4,1863-06-08,23-1863,23
336,15.4,1863-06-15,24-1863,24
337,15.4,1863-06-22,25-1863,25
338,15.5,1863-07-01,26-1863,26
339,15.5,1863-07-08,27-1863,27
340,15.5,1863-07-15,28-1863,28
341,15.5,1863-07-22,29-1863,29
342,15.5,1863-07-29,30-1863,30
343,17.7,1863-08-01,31-1863,31
344,17.7,1863-08-08,32-1863,32
345,17.7,1863-08-15,33-1863,33
346,17.7,1863-08-22,34-1863,34
347,12.9,1863-09-01,35-1863,35
348,12.9,1863-09-08,36-1863,36
349,12.9,1863-09-15,37-1863,37
350,12.9,1863-09-22,38-1863,38
351,12.9,1863-09-29,39-1863,39
352,11,1863-10-01,40-1863,40
353,11,1863-10-08,41-1863,41
354,11,1863-10-15,42-1863,42
355,11,1863-10-22,43-1863,43
356,3.9,1863-11-01,44-1863,44
357,3.9,1863-11-08,45-1863,45
358,3.9,1863-11-15,46-1863,46
359,3.9,1863-11-22,47-1863,47
360,3.6,1863-12-01,48-1863,48
361,3.6,1863-12-08,49-1863,49
362,3.6,1863-12-15,50-1863,50
363,3.6,1863-12-22,51-1863,51
364,3.6,1863-12-29,52-1863,52
365,-5,1864-01-01,1-1864,1
366,-5,1864-01-08,2-1864,2
367,-5,1864-01-15,3-1864,3
368,-5,1864-01-22,4-1864,4
369,-0.4,1864-02-01,5-1864,5
370,-0.4,1864-02-08,6-1864,6
371,-0.4,1864-02-15,7-1864,7
372,-0.4,1864-02-22,8-1864,8
373,4.6,1864-03-01,9-1864,9
374,4.6,1864-03-08,10-1864,10
375,4.6,1864-03-15,11-1864,11
376,4.6,1864-03-22,12-1864,12
377,4.6,1864-03-29,13-1864,13
378,6,1864-04-01,14-1864,14
379,6,1864-04-08,15-1864,15
380,6,1864-04-15,16-1864,16
381,6,1864-04-22,17-1864,17
382,10.5,1864-05-01,18-1864,18
383,10.5,1864-05-08,19-1864,19
384,10.5,1864-05-15,20-1864,20
385,10.5,1864-05-22,21-1864,21
386,15.4,1864-06-01,22-1864,22
387,15.4,1864-06-08,23-1864,23
388,15.4,1864-06-15,24-1864,24
389,15.4,1864-06-22,25-1864,25
390,15.4,1864-06-29,26-1864,26
391,16,1864-07-01,27-1864,27
392,16,1864-07-08,28-1864,28
393,16,1864-07-15,29-1864,29
394,16,1864-07-22,30-1864,30
395,14,1864-08-01,31-1864,31
396,14,1864-08-08,32-1864,32
397,14,1864-08-15,33-1864,33
398,14,1864-08-22,34-1864,34
399,13.2,1864-09-01,35-1864,35
400,13.2,1864-09-08,36-1864,36
401,13.2,1864-09-15,37-1864,37
402,13.2,1864-09-22,38-1864,38
403,13.2,1864-09-29,39-1864,39
404,8.1,1864-10-01,40-1864,40
405,8.1,1864-10-08,41-1864,41
406,8.1,1864-10-15,42-1864,42
407,8.1,1864-10-22,43-1864,43
408,2.6,1864-11-01,44-1864,44
409,2.6,1864-11-08,45-1864,45
410,2.6,1864-11-15,46-1864,46
411,2.6,1864-11-22,47-1864,47
412,-2.6,1864-12-01,48-1864,48
413,-2.6,1864-12-08,49-1864,49
414,-2.6,1864-12-15,50-1864,50
415,-2.6,1864-12-22,51-1864,51
416,-2.6,1864-12-29,52-1864,52
417,0.6,1865-01-01,1-1865,1
418,0.6,1865-01-08,2-1865,2
419,0.6,1865-01-15,3-1865,3
420,0.6,1865-01-22,4-1865,4
421,-4.4,1865-02-01,5-1865,5
422,-4.4,1865-02-08,6-1865,6
423,-4.4,1865-02-15,7-1865,7
424,-4.4,1865-02-22,8-1865,8
425,-0.6,1865-03-01,9-1865,9
426,-0.6,1865-03-08,10-1865,10
427,-0.6,1865-03-15,11-1865,11
428,-0.6,1865-03-22,12-1865,12
429,10.4,1865-04-01,13-1865,13
430,10.4,1865-04-08,14-1865,14
431,10.4,1865-04-15,15-1865,15
432,10.4,1865-04-22,16-1865,16
433,10.4,1865-04-29,17-1865,17
434,16.8,1865-05-01,18-1865,18
435,16.8,1865-05-08,19-1865,19
436,16.8,1865-05-15,20-1865,20
437,16.8,1865-05-22,21-1865,21
438,14.2,1865-06-01,22-1865,22
439,14.2,1865-06-08,23-1865,23
440,14.2,1865-06-15,24-1865,24
441,14.2,1865-06-22,25-1865,25
442,20.2,1865-07-01,26-1865,26
443,20.2,1865-07-08,27-1865,27
444,20.2,1865-07-15,28-1865,28
445,20.2,1865-07-22,29-1865,29
446,20.2,1865-07-29,30-1865,30
447,16.5,1865-08-01,31-1865,31
448,16.5,1865-08-08,32-1865,32
449,16.5,1865-08-15,33-1865,33
450,16.5,1865-08-22,34-1865,34
451,15.1,1865-09-01,35-1865,35
452,15.1,1865-09-08,36-1865,36
453,15.1,1865-09-15,37-1865,37
454,15.1,1865-09-22,38-1865,38
455,15.1,1865-09-29,39-1865,39
456,9.6,1865-10-01,40-1865,40
457,9.6,1865-10-08,41-1865,41
458,9.6,1865-10-15,42-1865,42
459,9.6,1865-10-22,43-1865,43
460,6.3,1865-11-01,44-1865,44
461,6.3,1865-11-08,45-1865,45
462,6.3,1865-11-15,46-1865,46
463,6.3,1865-11-22,47-1865,47
464,0.9,1865-12-01,48-1865,48
465,0.9,1865-12-08,49-1865,49
466,0.9,1865-12-15,50-1865,50
467,0.9,1865-12-22,51-1865,51
468,0.9,1865-12-29,52-1865,52
469,4.4,1866-01-01,1-1866,1
470,4.4,1866-01-08,2-1866,2
471,4.4,1866-01-15,3-1866,3
472,4.4,1866-01-22,4-1866,4
473,4.4,1866-02-01,5-1866,5
474,4.4,1866-02-08,6-1866,6
475,4.4,1866-02-15,7-1866,7
476,4.4,1866-02-22,8-1866,8
477,3.1,1866-03-01,9-1866,9
478,3.1,1866-03-08,10-1866,10
479,3.1,1866-03-15,11-1866,11
480,3.1,1866-03-22,12-1866,12
481,9.1,1866-04-01,13-1866,13
482,9.1,1866-04-08,14-1866,14
483,9.1,1866-04-15,15-1866,15
484,9.1,1866-04-22,16-1866,16
485,9.1,1866-04-29,17-1866,17
486,10,1866-05-01,18-1866,18
487,10,1866-05-08,19-1866,19
488,10,1866-05-15,20-1866,20
489,10,1866-05-22,21-1866,21
490,18,1866-06-01,22-1866,22
491,18,1866-06-08,23-1866,23
492,18,1866-06-15,24-1866,24
493,18,1866-06-22,25-1866,25
494,16.2,1866-07-01,26-1866,26
495,16.2,1866-07-08,27-1866,27
496,16.2,1866-07-15,28-1866,28
497,16.2,1866-07-22,29-1866,29
498,16.2,1866-07-29,30-1866,30
499,15.8,1866-08-01,31-1866,31
500,15.8,1866-08-08,32-1866,32
501,15.8,1866-08-15,33-1866,33
502,15.8,1866-08-22,34-1866,34
503,15.3,1866-09-01,35-1866,35
504,15.3,1866-09-08,36-1866,36
505,15.3,1866-09-15,37-1866,37
506,15.3,1866-09-22,38-1866,38
507,15.3,1866-09-29,39-1866,39
508,6.8,1866-10-01,40-1866,40
509,6.8,1866-10-08,41-1866,41
510,6.8,1866-10-15,42-1866,42
511,6.8,1866-10-22,43-1866,43
512,4.9,1866-11-01,44-1866,44
513,4.9,1866-11-08,45-1866,45
514,4.9,1866-11-15,46-1866,46
515,4.9,1866-11-22,47-1866,47
516,2.9,1866-12-01,48-1866,48
517,2.9,1866-12-08,49-1866,49
518,2.9,1866-12-15,50-1866,50
519,2.9,1866-12-22,51-1866,51
520,2.9,1866-12-29,52-1866,52
521,0.1,1867-01-01,1-1867,1
522,0.1,1867-01-08,2-1867,2
523,0.1,1867-01-15,3-1867,3
524,0.1,1867-01-22,4-1867,4
525,5.2,1867-02-01,5-1867,5
526,5.2,1867-02-08,6-1867,6
527,5.2,1867-02-15,7-1867,7
528,5.2,1867-02-22,8-1867,8
529,1.8,1867-03-01,9-1867,9
530,1.8,1867-03-08,10-1867,10
531,1.8,1867-03-15,11-1867,11
532,1.8,1867-03-22,12-1867,12
533,8.4,1867-04-01,13-1867,13
534,8.4,1867-04-08,14-1867,14
535,8.4,1867-04-15,15-1867,15
536,8.4,1867-04-22,16-1867,16
537,8.4,1867-04-29,17-1867,17
538,12,1867-05-01,18-1867,18
539,12,1867-05-08,19-1867,19
540,12,1867-05-15,20-1867,20
541,12,1867-05-22,21-1867,21
542,15.9,1867-06-01,22-1867,22
543,15.9,1867-06-08,23-1867,23
544,15.9,1867-06-15,24-1867,24
545,15.9,1867-06-22,25-1867,25
546,15.8,1867-07-01,26-1867,26
547,15.8,1867-07-08,27-1867,27
548,15.8,1867-07-15,28-1867,28
549,15.8,1867-07-22,29-1867,29
550,15.8,1867-07-29,30-1867,30
551,17.2,1867-08-01,31-1867,31
552,17.2,1867-08-08,32-1867,32
553,17.2,1867-08-15,33-1867,33
554,17.2,1867-08-22,34-1867,34
555,14.4,1867-09-01,35-1867,35
556,14.4,1867-09-08,36-1867,36
557,14.4,1867-09-15,37-1867,37
558,14.4,1867-09-22,38-1867,38
559,14.4,1867-09-29,39-1867,39
560,8.4,1867-10-01,40-1867,40
561,8.4,1867-10-08,41-1867,41
562,8.4,1867-10-15,42-1867,42
563,8.4,1867-10-22,43-1867,43
564,4.1,1867-11-01,44-1867,44
565,4.1,1867-11-08,45-1867,45
566,4.1,1867-11-15,46-1867,46
567,4.1,1867-11-22,47-1867,47
568,-0.8,1867-12-01,48-1867,48
569,-0.8,1867-12-08,49-1867,49
570,-0.8,1867-12-15,50-1867,50
571,-0.8,1867-12-22,51-1867,51
572,-0.8,1867-12-29,52-1867,52
573,-0.6,1868-01-01,1-1868,1
574,-0.6,1868-01-08,2-1868,2
575,-0.6,1868-01-15,3-1868,3
576,-0.6,1868-01-22,4-1868,4
577,4.6,1868-02-01,5-1868,5
578,4.6,1868-02-08,6-1868,6
579,4.6,1868-02-15,7-1868,7
580,4.6,1868-02-22,8-1868,8
581,4.3,1868-03-01,9-1868,9
582,4.3,1868-03-08,10-1868,10
583,4.3,1868-03-15,11-1868,11
584,4.3,1868-03-22,12-1868,12
585,4.3,1868-03-29,13-1868,13
586,7.2,1868-04-01,14-1868,14
587,7.2,1868-04-08,15-1868,15
588,7.2,1868-04-15,16-1868,16
589,7.2,1868-04-22,17-1868,17
590,16.7,1868-05-01,18-1868,18
591,16.7,1868-05-08,19-1868,19
592,16.7,1868-05-15,20-1868,20
593,16.7,1868-05-22,21-1868,21
594,16.9,1868-06-01,22-1868,22
595,16.9,1868-06-08,23-1868,23
596,16.9,1868-06-15,24-1868,24
597,16.9,1868-06-22,25-1868,25
598,16.9,1868-06-29,26-1868,26
599,19,1868-07-01,27-1868,27
600,19,1868-07-08,28-1868,28
601,19,1868-07-15,29-1868,29
602,19,1868-07-22,30-1868,30
603,18.9,1868-08-01,31-1868,31
604,18.9,1868-08-08,32-1868,32
605,18.9,1868-08-15,33-1868,33
606,18.9,1868-08-22,34-1868,34
607,14.5,1868-09-01,35-1868,35
608,14.5,1868-09-08,36-1868,36
609,14.5,1868-09-15,37-1868,37
610,14.5,1868-09-22,38-1868,38
611,14.5,1868-09-29,39-1868,39
612,8.1,1868-10-01,40-1868,40
613,8.1,1868-10-08,41-1868,41
614,8.1,1868-10-15,42-1868,42
615,8.1,1868-10-22,43-1868,43
616,2.2,1868-11-01,44-1868,44
617,2.2,1868-11-08,45-1868,45
618,2.2,1868-11-15,46-1868,46
619,2.2,1868-11-22,47-1868,47
620,5.6,1868-12-01,48-1868,48
621,5.6,1868-12-08,49-1868,49
622,5.6,1868-12-15,50-1868,50
623,5.6,1868-12-22,51-1868,51
624,5.6,1868-12-29,52-1868,52
625,-0.2,1869-01-01,1-1869,1
626,-0.2,1869-01-08,2-1869,2
627,-0.2,1869-01-15,3-1869,3
628,-0.2,1869-01-22,4-1869,4
629,5.6,1869-02-01,5-1869,5
630,5.6,1869-02-08,6-1869,6
631,5.6,1869-02-15,7-1869,7
632,5.6,1869-02-22,8-1869,8
633,1.5,1869-03-01,9-1869,9
634,1.5,1869-03-08,10-1869,10
635,1.5,1869-03-15,11-1869,11
636,1.5,1869-03-22,12-1869,12
637,10.8,1869-04-01,13-1869,13
638,10.8,1869-04-08,14-1869,14
639,10.8,1869-04-15,15-1869,15
640,10.8,1869-04-22,16-1869,16
641,10.8,1869-04-29,17-1869,17
642,12.6,1869-05-01,18-1869,18
643,12.6,1869-05-08,19-1869,19
644,12.6,1869-05-15,20-1869,20
645,12.6,1869-05-22,21-1869,21
646,13.2,1869-06-01,22-1869,22
647,13.2,1869-06-08,23-1869,23
648,13.2,1869-06-15,24-1869,24
649,13.2,1869-06-22,25-1869,25
650,18.4,1869-07-01,26-1869,26
651,18.4,1869-07-08,27-1869,27
652,18.4,1869-07-15,28-1869,28
653,18.4,1869-07-22,29-1869,29
654,18.4,1869-07-29,30-1869,30
655,14.8,1869-08-01,31-1869,31
656,14.8,1869-08-08,32-1869,32
657,14.8,1869-08-15,33-1869,33
658,14.8,1869-08-22,34-1869,34
659,14.3,1869-09-01,35-1869,35
660,14.3,1869-09-08,36-1869,36
661,14.3,1869-09-15,37-1869,37
662,14.3,1869-09-22,38-1869,38
663,14.3,1869-09-29,39-1869,39
664,7.4,1869-10-01,40-1869,40
665,7.4,1869-10-08,41-1869,41
666,7.4,1869-10-15,42-1869,42
667,7.4,1869-10-22,43-1869,43
668,3.6,1869-11-01,44-1869,44
669,3.6,1869-11-08,45-1869,45
670,3.6,1869-11-15,46-1869,46
671,3.6,1869-11-22,47-1869,47
672,0,1869-12-01,48-1869,48
673,0,1869-12-08,49-1869,49
674,0,1869-12-15,50-1869,50
675,0,1869-12-22,51-1869,51
676,0,1869-12-29,52-1869,52
677,0.4,1870-01-01,1-1870,1
678,0.4,1870-01-08,2-1870,2
679,0.4,1870-01-15,3-1870,3
680,0.4,1870-01-22,4-1870,4
681,-3.8,1870-02-01,5-1870,5
682,-3.8,1870-02-08,6-1870,6
683,-3.8,1870-02-15,7-1870,7
684,-3.8,1870-02-22,8-1870,8
685,1.4,1870-03-01,9-1870,9
686,1.4,1870-03-08,10-1870,10
687,1.4,1870-03-15,11-1870,11
688,1.4,1870-03-22,12-1870,12
689,8.1,1870-04-01,13-1870,13
690,8.1,1870-04-08,14-1870,14
691,8.1,1870-04-15,15-1870,15
692,8.1,1870-04-22,16-1870,16
693,8.1,1870-04-29,17-1870,17
694,12.4,1870-05-01,18-1870,18
695,12.4,1870-05-08,19-1870,19
696,12.4,1870-05-15,20-1870,20
697,12.4,1870-05-22,21-1870,21
698,15.3,1870-06-01,22-1870,22
699,15.3,1870-06-08,23-1870,23
700,15.3,1870-06-15,24-1870,24
701,15.3,1870-06-22,25-1870,25
702,18.5,1870-07-01,26-1870,26
703,18.5,1870-07-08,27-1870,27
704,18.5,1870-07-15,28-1870,28
